"Daily Date","Share Code","Year High (GH¢)","Year Low (GH¢)","Previous Closing Price - VWAP (GH¢)","Opening Price (GH¢)","Last Transaction Price (GH¢)","Closing Price - VWAP (GH¢)","Price Change (GH¢)","Closing Bid Price (GH¢)","Closing Offer Price (GH¢)","Total Shares Traded","Total Value Traded (GH¢)"
"21/02/2011","TOTAL","12.67","10.00","14.00","14.00","14.00","14.00","0","13.55","","0.00",""
"18/02/2011","TOTAL","12.67","10.00","13.01","13.01","14.00","14.00","0.99","14.00","","200.00",""
"17/02/2011","TOTAL","12.67","10.00","13.01","13.01","13.01","13.01","0","13.02","","0.00",""
"16/02/2011","TOTAL","12.67","10.00","13.01","13.01","13.01","13.01","0","13.05","","0.00",""
"15/02/2011","TOTAL","12.67","10.00","13.01","13.01","13.01","13.01","0","13.01","","0.00",""
"14/02/2011","TOTAL","12.67","10.00","13.01","13.01","13.01","13.01","0","13.01","","1,700.00",""
"11/02/2011","TOTAL","12.67","10.00","12.67","12.67","13.01","13.01","0.34","13.00","","200.00",""
"10/02/2011","TOTAL","12.67","10.00","12.67","12.67","12.67","12.67","0","13.00","","0.00",""
"09/02/2011","TOTAL","12.67","10.00","12.67","12.67","12.67","12.67","0","13.00","","0.00",""
"08/02/2011","TOTAL","12.67","10.00","12.67","12.67","12.67","12.67","0","13.00","","0.00",""
"07/02/2011","TOTAL","12.67","10.00","12.67","12.67","12.67","12.67","0","13.00","","0.00",""
"04/02/2011","TOTAL","12.67","10.00","12.67","12.67","12.67","12.67","0","12.60","","0.00",""
"03/02/2011","TOTAL","12.67","10.00","12.61","12.61","12.67","12.67","0.06","13.00","","1,000.00",""
"02/02/2011","TOTAL","12.61","10.00","12.61","12.61","12.62","12.61","0","12.66","","0.00",""
"01/02/2011","TOTAL","12.61","10.00","12.03","12.03","12.62","12.61","0.58","12.61","","1,200.00",""
"31/01/2011","TOTAL","12.03","10.00","12.03","12.03","12.03","12.03","0","12.63","","0.00",""
"28/01/2011","TOTAL","12.03","10.00","12.03","12.03","12.03","12.03","0","12.64","","0.00",""
"27/01/2011","TOTAL","12.03","10.00","12.58","12.58","12.03","12.03","-0.55","12.20","","100.00",""
"26/01/2011","TOTAL","10.93","10.00","12.58","12.58","12.58","12.58","0","11.20","","0.00",""
"25/01/2011","TOTAL","10.93","10.00","12.58","12.58","12.58","12.58","0","11.16","","0.00",""
"24/01/2011","TOTAL","10.93","10.00","12.58","12.58","12.58","12.58","0","11.11","","0.00",""
"21/01/2011","TOTAL","10.93","10.00","10.94","10.94","12.58","12.58","1.64","12.58","","2,000.00",""
"20/01/2011","TOTAL","10.93","10.00","10.94","10.94","10.94","10.94","0","11.06","","0.00",""
"19/01/2011","TOTAL","10.93","10.00","10.94","10.93","10.94","10.94","0","11.10","","0.00",""
"18/01/2011","TOTAL","10.93","10.00","10.94","10.93","10.94","10.94","0","11.01","","0.00",""
"17/01/2011","TOTAL","10.93","10.00","10.94","10.93","10.94","10.94","0","11.01","","0.00",""
"14/01/2011","TOTAL","10.93","10.00","10.94","10.93","10.94","10.94","0","11.01","","0.00",""
"13/01/2011","TOTAL","10.93","10.00","10.94","10.93","10.94","10.94","0","11.01","","0.00",""
"12/01/2011","TOTAL","10.93","10.00","10.93","10.93","10.94","10.94","0.01","10.98","","1,000.00",""
"11/01/2011","TOTAL","10.93","10.00","10.93","10.93","11.00","10.93","0","10.95","","0.00",""
"10/01/2011","TOTAL","10.00","10.00","10.93","10.93","11.00","10.93","0","10.95","","0.00",""
"07/01/2011","TOTAL","10.00","10.00","10.93","10.93","11.00","10.93","0","10.93","","0.00",""
"06/01/2011","TOTAL","10.00","10.00","10.00","10.00","11.00","10.93","0.93","10.55","","2,500.00",""
"05/01/2011","TOTAL","10.00","10.00","10.00","10.00","10.00","10.00","0","11.01","","0.00",""
"04/01/2011","TOTAL","10.00","10.00","10.00","10.00","10.00","10.00","0","11.00","","0.00",""
"09/12/2010","TOTAL","9.45","6.80","9.45","9.45","0.00","9.45","0","9.50","","0.00",""
"08/12/2010","TOTAL","9.45","6.80","9.45","9.45","0.00","9.45","0","9.50","","0.00",""
"07/12/2010","TOTAL","9.45","6.80","9.45","9.40","0.00","9.45","0","9.50","","0.00",""
"06/12/2010","TOTAL","9.45","6.80","9.45","9.40","0.00","9.45","0","","","0.00",""
"02/12/2010","TOTAL","9.45","6.80","9.45","9.40","0.00","9.45","0","9.50","","500.00",""
"01/12/2010","TOTAL","9.45","6.80","9.40","9.40","0.00","9.45","0.05","9.45","","3,300.00",""
"30/11/2010","TOTAL","9.40","6.80","9.40","9.40","0.00","9.40","0","9.40","","0.00",""
"29/11/2010","TOTAL","9.40","6.80","9.40","9.40","0.00","9.40","0","9.40","","0.00",""
"26/11/2010","TOTAL","9.40","6.80","9.40","9.40","0.00","9.40","0","9.40","","200.00",""
"25/11/2010","TOTAL","9.40","6.80","9.40","9.40","0.00","9.40","0","9.40","","0.00",""
"24/11/2010","TOTAL","9.40","6.80","9.40","9.36","0.00","9.40","0","9.40","","0.00",""
"23/11/2010","TOTAL","9.40","6.80","9.40","9.36","0.00","9.40","0","","","0.00",""
"22/11/2010","TOTAL","9.40","6.80","9.40","9.36","0.00","9.40","0","","","200.00",""
"19/11/2010","TOTAL","9.40","6.80","9.40","9.36","0.00","9.40","0","","","0.00",""
"18/11/2010","TOTAL","9.40","6.80","9.40","9.36","0.00","9.40","0","","","900.00",""
"17/11/2010","TOTAL","9.40","6.80","9.39","9.36","0.00","9.40","0.01","9.40","","200.00",""
"15/11/2010","TOTAL","9.39","6.80","9.39","9.36","0.00","9.39","0","9.41","","0.00",""
"12/11/2010","TOTAL","9.39","6.80","9.39","9.36","0.00","9.39","0","9.40","","0.00",""
"11/11/2010","TOTAL","9.39","6.80","9.36","9.36","0.00","9.39","0.03","9.40","","500.00",""
"10/11/2010","TOTAL","9.36","6.80","9.36","9.36","0.00","9.36","0","9.37","","0.00",""
"09/11/2010","TOTAL","9.36","6.80","9.36","9.36","0.00","9.36","0","9.36","","0.00",""
"08/11/2010","TOTAL","9.36","6.80","9.36","9.36","0.00","9.36","0","9.36","","0.00",""
"05/11/2010","TOTAL","9.36","6.80","9.35","9.36","0.00","9.36","0.01","9.36","","1,200.00",""
"04/11/2010","TOTAL","9.35","6.80","9.35","9.21","0.00","9.35","0","9.35","","0.00",""
"03/11/2010","TOTAL","9.35","6.80","9.35","9.21","0.00","9.35","0","9.35","","0.00",""
"02/11/2010","TOTAL","9.35","6.80","9.35","9.21","0.00","9.35","0","","","0.00",""
"01/11/2010","TOTAL","9.35","6.80","9.35","9.21","0.00","9.35","0","9.35","","0.00",""
"29/10/2010","TOTAL","9.35","6.80","9.35","9.21","0.00","9.35","0","9.35","","0.00",""
"28/10/2010","TOTAL","9.35","6.80","9.35","9.21","0.00","9.35","0","9.35","","0.00",""
"27/10/2010","TOTAL","9.35","6.80","9.35","9.21","0.00","9.35","0","9.35","","700.00",""
"26/10/2010","TOTAL","9.35","6.80","9.35","9.21","0.00","9.35","0","9.35","","0.00",""
"25/10/2010","TOTAL","9.35","6.80","9.35","9.21","0.00","9.35","0","9.35","","1,200.00",""
"22/10/2010","TOTAL","9.35","6.80","9.21","9.21","0.00","9.35","0.14","9.35","","2,000.00",""
"21/10/2010","TOTAL","9.20","6.80","9.20","9.20","0.00","9.21","0.01","9.25","","1,900.00",""
"20/10/2010","TOTAL","9.20","6.80","9.20","9.00","0.00","9.20","0","9.21","","0.00",""
"19/10/2010","TOTAL","9.20","6.80","9.20","9.00","0.00","9.20","0","9.21","","",""
"18/10/2010","TOTAL","9.20","6.80","9.20","9.00","0.00","9.20","0","9.21","","0.00",""
"15/10/2010","TOTAL","9.20","6.80","9.20","9.00","0.00","9.20","0","","","0.00",""
"14/10/2010","TOTAL","9.20","6.80","9.20","9.00","0.00","9.20","0","9.20","","0.00",""
"13/10/2010","TOTAL","9.20","6.80","9.20","9.00","0.00","9.20","0","9.21","","0.00",""
"12/10/2010","TOTAL","9.20","6.80","9.20","9.00","0.00","9.20","0","9.20","","0.00",""
"11/10/2010","TOTAL","9.20","6.80","9.20","9.00","0.00","9.20","0","9.22","","0.00",""
"08/10/2010","TOTAL","9.20","6.80","9.20","9.00","0.00","9.20","0","9.20","","0.00",""
"07/10/2010","TOTAL","9.20","6.80","9.06","9.00","0.00","9.20","0.14","9.20","","1,500.00",""
"06/10/2010","TOTAL","9.06","6.80","9.06","9.00","0.00","9.06","0","9.06","","0.00",""
"05/10/2010","TOTAL","9.06","6.80","9.06","9.00","0.00","9.06","0","9.06","","0.00",""
"04/10/2010","TOTAL","9.06","6.80","9.06","9.00","0.00","9.06","0","9.06","","0.00",""
"01/10/2010","TOTAL","9.06","6.80","9.06","9.00","0.00","9.06","0","9.06","","0.00",""
"30/09/2010","TOTAL","9.06","6.80","9.06","9.00","0.00","9.06","0","9.06","","0.00",""
"29/09/2010","TOTAL","9.06","6.80","9.06","9.00","0.00","9.06","0","9.06","","0.00",""
"28/09/2010","TOTAL","9.06","6.80","9.06","9.00","0.00","9.06","0","9.06","","0.00",""
"27/09/2010","TOTAL","9.06","6.80","9.00","9.00","0.00","9.06","0.06","9.06","","800.00",""
"24/09/2010","TOTAL","9.00","6.80","9.00","8.83","0.00","9.00","0","9.00","","500.00",""
"23/09/2010","TOTAL","9.00","6.80","9.00","8.83","0.00","9.00","0","9.00","","0.00",""
"22/09/2010","TOTAL","9.00","6.80","9.00","8.83","0.00","9.00","0","9.00","","0.00",""
"20/09/2010","TOTAL","9.00","6.80","8.83","8.83","0.00","9.00","0.17","9.00","","1,600.00",""
"17/09/2010","TOTAL","8.83","6.80","8.83","8.71","0.00","8.83","0","9.00","","0.00",""
"16/09/2010","TOTAL","8.83","6.80","8.71","8.71","0.00","8.83","0.12","8.80","","135,800.00",""
"15/09/2010","TOTAL","8.71","6.80","8.51","8.50","0.00","8.71","0.2","8.71","","100.00",""
